title,description
Advanced Database Applications ,"Advanced Database Applications  This intensive, lab-based course focuses on database language. It covers hands-on development in SQL and PL/SQL, as well as Java and XML. The course covers the important features of Oracle, an Internet-oriented, object-relational database. It introduces new Oracle features, and covers PL/SQL program tracing and tuning. SQL*Plus, Oracle?s character-based interface, is introduced and used. Students will learn to create and maintain databases; store, retrieve, and manipulate data; write stored procedures, functions and triggers; create PL/SQL procedures, functions and packages utilizing PL/SQL libraries; manipulate XML contents; write and call Java programs from and within the database; and publish HTML pages using PL/SQL This course is for application developers and system integrators with knowledge of basic relational concepts. The course is heavily lab-based, with approximately 50% allocated to hands-on exercises. Students practice to design, develop, and implement a relational Oracle database and use the database for transaction processing, report generation, and queries. A term assignment is implemented step-wise as part of regular assignments. Upon completion of this course students should be adept at writing SQL and PL/SQL codes for diverse applications in the relational database environment."
"Application,Architecture Design, & Development ","Application,Architecture Design, & Development  This course examines the concepts and principles of designing and developing applications systems in the context of the Internet and the web. The protocols and languages supporting web applications development are explored along with the techniques underlying the design and development of efficient and well-designed applications systems for today?s Internet environment. Topics covered include: Internet protocols, software components, markup languages, future technology directions. Upon completion of this course the student will have acquired an understanding of the skills, and software tools that are required to build advanced web-based applications systems and the requisite tools and techniques that render such systems efficient, scalable and supportable in a real-world environment."
Applied Project,"Applied Project Where academically warranted and subject to departmental approval, the student will undertake and deliver a real-world project for active practitioners in the field. Under the direction of a faculty supervisor, the student will select and explore a topic to be developed. The student will then be required to generate a practical application of his/her findings that demonstrates professional level mastery of the subject matter involved. The project will be reviewed by the faculty supervisor and one other expert in the field."
Auditing ,"Auditing  Achieving adequate control over all the information resources of an organization is a paramount concern in the last decade of the twentieth century. As organizations have become dependent on information systems, ensuring the appropriate level of control over these systems has become more important and, in many cases, critical. Therefore, the ability to achieve adequate control over the information resources of an organization should be a top management priority. This course focuses on the standards and techniques employed in audit and control within an organization. It has been designed not only for Audit and Systems Professionals but also for any professional who needs to meet these types of challenges.  Students and the instructor will collaborate through lectures, case studies, use of current software packages to study, analyze, and discuss the fundamental concepts of internal, operational, value-based, investigative, technology, and systems auditing. Topics will include: nature and audit of computer-related controls; general and application controls; control and audit of end-user, networked and client/server systems; and evaluating overall system efficiency and effectiveness, compliance, audit extraction software, SAS70, and CoBIT.  Upon successful completion of this course, students will have learned how to: Recognize and understand how to insure that the use and control of information technology resources are consistent with the organization's overall strategies; gain specific comprehension of basic and more advanced auditing concepts; learn how to identify and recommend key systems areas for improved controls; conduct Information System Audits in conjunction with standards set forth by the Institute of Internal Auditors."
Business Analysis in the Enterprise,"Business Analysis in the Enterprise This course investigates the concepts and techniques used in business analysis throughout the development of business information systems. Topics include building a business case, eliciting, documenting, validating and managing business requirements; developing functional requirements; interviewing /testing techniques; software quality assurance; and project planning and control. Students create and analyze business requirements, estimate project work, develop a business case, and analyze data flow diagrams and models. Upon completion of this course, students will understand the key system development lifecycle approaches to business analysis and how to prioritize, select, plan, analyze, test, implement, and maintain modern application systems. Through collaborative learning approaches, lectures, peer-learning activities, and real-world projects, students receive a dynamic experience in understanding and performing business systems analysis in the enterprise."
Business Strategy & Ethics ,"Business Strategy & Ethics  Strategy is the heart and soul of any business.  The essence of business strategy is to understand your organization?s uniqueness and order-winning criteria. This course will focus on how classic strategy paradigms such as differentiation; brand creation; core competency expertise; speed to market; value migration and leadership in the areas of cost reduction, technology and innovation are linked to a sustained competitive advantage.  In addition, the course will examine how changes in the competitive landscape such as globalization, the rapid diffusion of technology, excess capacity, shifting marketplace demographics, increasing cost transparencies, the erosion of pricing power and the commoditization and unbundling of products/services; are creating both problems and unique opportunities.  Particular emphasis will be placed on the ethical dilemmas that confront managers due to advances in technology, greater access to information, and more collaborative ventures that break down traditional proprietary boundaries. Given the recent wave of ethical lapses in business, students will be sensitized to the ethical considerations in any given decision-making scenario. Utilizing lectures, assigned readings, small group projects, case studies and simulations, the students will become proficient at business strategy analysis, creation and implementation within an ethical framework.  A final class project will involve the creation of an Individualized Business Strategy Analysis and Action Plan, which applies the techniques learned during the course to any business selected by the student.  Upon successful completion of the course, students will be expected to understand classic and innovative strategy paradigms and how to formulate and implement them under ethical guidelines. Students should also gain knowledge of competitive landscapes and the critical alignment between business strategy and human resources strategy."
Crisis Management & Business Continuity ,"Crisis Management & Business Continuity  With the introduction of a National Standard for crisis management and emergency preparedness, and incentives to promote its adoption, organizations will immediately require training and other resources to develop new emergency programs where there are none, to evaluate and revise existing programs, and to maintain programs on an ongoing basis. This course focuses on the business decisions and management processes necessary to anticipate, plan for, manage, communicate about, and recover from crises affecting corporations and other complex organizations.  It will also cover the key component steps for the development of a corporate Business Continuity Plan as a vital part of the day to day operations of enterprises.   Additionally, it will examine the way companies in distress and the constituencies who matter to those companies predictably behave when things go wrong.  Underlying the tangible structural components of the course, there will be a continued emphasis on the fact that crisis management is an ongoing process, rather than a one time review of the individual corporations? operational requirements. Topics covered will include: The Crisis Environment Awareness and Training; Exercising & Maintaining Programs; Implementation Strategies & Issues; Emergency Preparedness & Response; Hazard Mitigation; Crisis Communications; Direction, Control & Coordination; Operations & Procedures; Logistics & Facilities; Recovery and continuity planning; Psychology paradigms in pre, during and post-crisis phases; Crisis Leadership; Integration of Multiple Disciplines, Functions and Organizational Constituencies; Performance Assessment; Current & Evolving Strategies and Insights in Crisis Management.  Through a combination of lectures, discussions, case studies, role-play, and a final project that consists of a crisis management plan to protect a company undergoing a crisis, students will be able to identify and implement the various plan development methodologies available today and be ready to develop and manage systems to establish protocols, processes, and structures to prevent damage and business interruption, and to restore operations in the event of a natural disaster.  Upon successful completion of the course, students will have learned how to recognize and appreciate the dynamics of crisis management including the processes involved in identifying areas of highest business interruption risk, the methodologies for calculating minimum recovery times for both systems and basic operations how to identify and address the key components necessary for the development and implementation of a viable crisis management program including a Business Continuity plan. They will have familiarity with the existence of numerous plan development software tools and they will have reviewed examples of existing plans."
Data Mining and Data Warehousing ,"Data Mining and Data Warehousing  In the competitive information age, data mining and data warehousing are increasingly essential in business decision-making. Although outsourcing is available and in-house personnel may not be very proficient, many organizations are already implementing and will continue to implement data mining and data warehousing technologies internally because of information security concerns and the administrative convenience of in-sourcing. This course teaches students concepts, methods and skills for mining data warehouses for the best competitive business strategy. It also develops analytical thinking to identify the strategy. The course utilizes lectures, readings, problems and case studies, and a data warehouse project. Upon the completion of this course, students will be able to apply and use various methods and techniques for mining the warehouse and using the resultant information for business decision-making."
Data Process and Structure ,"Data Process and Structure  This course examines database models from a managerial perspective with an in-depth focus on business data requirements, operational rules, procedures, and logical structure.  Using a case study method and real-world exercises, students research and present real world scenarios and develop automated business process solutions through evaluation and discussion.  Upon successful completion of this course the student will have gained a comprehensive knowledge and understanding of data process and structures, database design and database management. Topics covered include: relational algebra and calculus, SQL queries, and business rules; database applications and Internet applications; indexing, disks and files; query evaluation; external sorting, evaluating relational operators; the query optimizer; transactional management and concurrency control; recovery."
Database Applications ,"Database Applications  This course introduces a variety of databases and database technologies and introduces the theory, techniques, and technologies that facilitate utilizing these technologies to enable complex data-drive applications. It covers the basic concepts and skill sets of Sybase, SQL server, DB2, and Oracle, and compares and contrasts the facilities, options, and syntaxes available in each platform. A hands-on, computer lab approach is used in conjunction with lectures and real-world examples to provide the student with a thorough understanding of the similarities and differences of relational database options. Upon completion of this course, students will be able to understand the differences between several leading relational database management systems and evaluate their respective advantages and disadvantages.  This will enable them to make the appropriate business decisions when considering choices among multiple database and database technology options in order to satisfy real-word business and technology considerations."
